row,name,s_name,ofs,type,typename
645,field000334,74818,541,5,ev_field
646,field000335,74830,542,5,ev_field
647,field000336,74842,543,5,ev_field
648,field000337,74854,544,5,ev_field
649,field000338,74866,545,5,ev_field
650,field000339,74878,546,5,ev_field
651,field000340,74890,547,5,ev_field
652,field000341,74902,548,5,ev_field
653,field000342,74914,549,5,ev_field
654,field000343,74926,550,5,ev_field
655,field000344,74938,551,5,ev_field
656,field000345,74950,552,5,ev_field
657,field000345_x,74962,552,5,ev_field
658,field000345_y,74976,553,5,ev_field
659,field000345_z,74990,554,5,ev_field
660,field000349,75004,555,5,ev_field
661,field000349_x,75016,555,5,ev_field
662,field000349_y,75030,556,5,ev_field
663,field000349_z,75044,557,5,ev_field
664,field000353,75058,558,5,ev_field
665,field000353_x,75070,558,5,ev_field
666,field000353_y,75084,559,5,ev_field
667,field000353_z,75098,560,5,ev_field
668,field000357,75112,561,5,ev_field
669,field000358,75124,562,5,ev_field
670,field000358_x,75136,562,5,ev_field
671,field000358_y,75150,563,5,ev_field
672,field000358_z,75164,564,5,ev_field
673,field000362,75178,565,5,ev_field
674,waypointnumber,75190,566,5,ev_field
675,waypointtype,75205,567,5,ev_field
676,waypointitem,75218,568,5,ev_field
677,wp0,75231,569,5,ev_field
678,wp1,75235,570,5,ev_field
679,wp2,75239,571,5,ev_field
680,wp3,75243,572,5,ev_field
681,wp4,75247,573,5,ev_field
682,wp5,75251,574,5,ev_field
683,wp6,75255,575,5,ev_field
684,wp7,75259,576,5,ev_field
685,globaldef000681,75263,577,32770,
686,globaldef000682,75279,578,32770,
687,globaldef000683,75295,579,32770,
688,globaldef000684,75311,580,32770,
689,globaldef000685,75327,581,32770,
690,globaldef000686,75343,582,32770,
691,globaldef000687,75359,583,32770,
692,globaldef000688,75375,584,32770,
693,globaldef000689,75391,585,32770,
694,globaldef000690,75407,586,32770,
695,globaldef000691,75423,587,32770,
696,globaldef000692,75439,588,32770,
697,globaldef000693,75455,589,32770,
698,globaldef000694,75471,590,32770,
699,globaldef000695,75487,591,32770,
700,globaldef000696,75503,592,32770,
701,globaldef000697,75519,593,32770,
702,globaldef000699,75535,594,32770,
703,globaldef000700,75551,595,32770,
704,globaldef000701,75567,596,32770,
705,globaldef000702,75583,597,32770,
706,globaldef000703,75599,598,32770,
707,globaldef000706,75615,599,32770,
